공원명,위도,경도
무지개어린이공원,37.528857,126.867057
목동누리어린이공원,37.545949,126.865505
무궁화어린이공원,37.541779,126.864344
백석어린이공원,37.545207,126.865033
한두어린이공원,37.549183,126.865488
나말어린이공원,37.5386,126.864552
마장어린이공원,37.533518,126.864716
모세미어린이공원,37.535258,126.868666
정목어린이공원,37.536991,126.868362
달님어린이공원,37.535159,126.885538
별님어린이공원,37.537803,126.875239
영도어린이공원,37.535077,126.872954
은하수어린이공원,37.533422,126.878647
장미어린이공원,37.534454,126.882792
진달래어린이공원,37.531899,126.870112
햇님어린이공원,37.539972,126.879436
곰달래어린이공원,37.528759,126.837899
돌다리어린이공원,37.532034,126.835777
반곡어린이공원,37.529197,126.835516
신대어린이공원,37.534811,126.832782
신월어린이공원,37.527035,126.838188
꽃동산어린이공원,37.526455,126.848438
신곡어린이공원,37.526273,126.845105
신장어린이공원,37.52424,126.842793
경인어린이공원,37.532109,126.828852
남부어린이공원,37.534781,126.826088
꿀벌어린이공원,37.520006,126.842062
남도어린이공원,37.524419,126.840845
당곡어린이공원,37.518623,126.839964
문화어린이공원,37.521225,126.842752
태양어린이공원,37.524402,126.838609
당뒤어린이공원,37.541479,126.828569
방아다리어린이공원,37.538693,126.828358
송죽어린이공원,37.539429,126.833885
신오어린이공원,37.53822,126.831558
강신어린이공원,37.515553,126.838449
강월어린이공원,37.515557,126.836291
금실어린이공원,37.518107,126.837347
아동어린이공원,37.523108,126.833341
개나리어린이공원,37.517726,126.862761
꽃사과어린이공원,37.520132,126.86468
꿈나무어린이공원,37.517693,126.858437
단지어린이공원,37.519825,126.854312
양명어린이공원,37.519266,126.854492
해태어린이공원,37.521708,126.861996
신세계어린이공원,37.521716,126.875912
신정어린이공원,37.520501,126.874747
꽃사슴어린이공원,37.52177,126.848515
넓은들어린이공원,37.511144,126.839205
숲속어린이공원,37.514682,126.830002
신기어린이공원,37.514055,126.854326
신이어린이공원,37.512554,126.837592
푸른어린이공원,37.511281,126.837884
하늘마루어린이공원,37.512645,126.83173
학마을어린이공원,37.509022,126.84361
동개울어린이공원,37.527975,126.856515
새뚝어린이공원,37.524125,126.857773
안산어린이공원,37.524624,126.856207
앞산어린이공원,37.526441,126.858394
오구어린이공원,37.527327,126.861956
은행정어린이공원,37.522057,126.855005
음골어린이공원,37.52741,126.851241
진주어린이공원,37.526554,126.855049
홍익어린이공원,37.528578,126.862293
기린어린이공원,37.51367,126.872445
까치어린이공원,37.515011,126.86832
꿈나래어린이공원,37.51636,126.869759
꿈동산어린이공원,37.521958,126.867486
다람쥐어린이공원,37.513486,126.866086
사슴어린이공원,37.515706,126.873442
목련어린이공원,37.511472,126.858392
세양어린이공원,37.506788,126.864108
호돌이어린이공원,37.512595,126.861548
오목공원,37.528005,126.873279
달마을근린공원,37.543498,126.868468
목동공원,37.546521,126.879263
용왕산공원,37.543358,126.878788
목마공원,37.538174,126.885602
곰달래근린공원,37.524905,126.833211
독서공원,37.519757,126.83485
신월공원,37.518137,126.834492
양지근린공원,37.5222,126.831005
오솔길공원,37.521151,126.836556
한울근린공원,37.519799,126.832525
신트리공원,37.514612,126.856483
계남공원,37.514104,126.850051
넘은들공원,37.513034,126.840467
연의공원,37.512717,126.833542
양천공원,37.518012,126.868162
갈산공원,37.50836,126.869014
신월2동소공원,37.517649,126.848293
신월6동소공원1,37.517261,126.843217
신월6동소공원2,37.516725,126.844484
신월6동소공원3,37.515737,126.843973
신정소공원,37.506192,126.833035
신정7동소공원,37.510721,126.869612
파리공원,37.535016,126.877154
장수공원,37.522468,126.847043
온수도시자연공원,37.514628,126.836199
안양천공원,37.522877,126.879048
서서울호수공원,37.528443,126.830473
양천도시농업공원,37.512982,126.826174