정류장 히트맵,위도,경도
0,37.51021362,126.8225168
0,37.51472013,126.822476
0,37.51697338,126.8224557
0,37.53274612,126.822313
0,37.53499937,126.8222926
0.02386,37.53725261,126.8222722
1.32675,37.53950586,126.8222518
0,37.5417591,126.8222314
0,37.50797655,126.8253656
0,37.51022981,126.8253453
0,37.51248306,126.825325
0.00142,37.51473632,126.8253048
0,37.51698957,126.8252845
0,37.51924283,126.8252642
0.04251,37.52149608,126.8252439
1.85002,37.52374933,126.8252236
0,37.52600258,126.8252033
0,37.53050908,126.8251627
0,37.53276233,126.8251424
0.5607,37.53501557,126.8251221
0.56908,37.53726882,126.8251018
2.6125,37.53952206,126.8250815
0.28558,37.54177531,126.8250612
0,37.54402855,126.8250409
0,37.54628179,126.8250205
0,37.50799267,126.8281941
0.03821,37.51024593,126.8281739
3.00706,37.51249919,126.8281537
4.17392,37.51475244,126.8281335
0.03801,37.5170057,126.8281133
0,37.51925895,126.8280931
0,37.52151221,126.8280729
1.82761,37.52376546,126.8280527
0.0628,37.52601871,126.8280325
0,37.52827196,126.8280122
0,37.53052521,126.827992
0.18049,37.53277846,126.8279718
3.40721,37.53503171,126.8279516
4.42048,37.53728496,126.8279314
1.97891,37.5395382,126.8279111
0.13245,37.54179145,126.8278909
0.64881,37.54404469,126.8278707
0,37.54629794,126.8278505
0,37.54855118,126.8278302
0,37.5035022,126.8310628
0,37.50575547,126.8310427
0,37.50800873,126.8310226
1.62888,37.51026198,126.8310025
2.73728,37.51251524,126.8309823
1.74324,37.5147685,126.8309622
0,37.51702176,126.8309421
0,37.51927501,126.830922
0,37.52152827,126.8309019
2.27356,37.52378152,126.8308817
0.23265,37.52603477,126.8308616
0.69481,37.52828803,126.8308415
1.17419,37.53054128,126.8308214
2.20034,37.53279453,126.8308012
1.14056,37.53504778,126.8307811
0.77765,37.53730103,126.830761
3.25511,37.53955427,126.8307408
1.33854,37.54180752,126.8307207
0.23841,37.54406077,126.8307005
0,37.54631401,126.8306804
0,37.54856726,126.8306602
0,37.50351819,126.8338911
0.95942,37.50577145,126.8338711
0.41293,37.50802471,126.833851
1.05813,37.51027797,126.833831
4.37616,37.51253123,126.833811
2.91148,37.51478449,126.833791
0.31545,37.51703775,126.8337709
0.45758,37.519291,126.8337509
1.97287,37.52154426,126.8337309
0.08132,37.52379752,126.8337108
0,37.52605077,126.8336908
1.89997,37.52830402,126.8336707
1.84752,37.53055728,126.8336507
0.00347,37.53281053,126.8336306
0.44136,37.53506378,126.8336106
1.54666,37.53731703,126.8335905
1.15549,37.53957028,126.8335705
0.12625,37.54182353,126.8335504
0,37.5035341,126.8367194
1.96563,37.50578737,126.8366995
3.31028,37.50804063,126.8366795
2.07912,37.51029389,126.8366596
2.61513,37.51254715,126.8366396
0.90213,37.51480041,126.8366197
2.78014,37.51705367,126.8365998
4.43913,37.51930693,126.8365798
3.59567,37.52156019,126.8365599
1.76126,37.52381344,126.8365399
0,37.5260667,126.8365199
0.2681,37.52831995,126.8365
1.78442,37.53057321,126.83648
0,37.53282646,126.8364601
0,37.53507971,126.8364401
0,37.53733296,126.8364201
0,37.50354995,126.8395477
0,37.50580321,126.8395279
1.39561,37.50805648,126.839508
4.29944,37.51030974,126.8394882
0.69723,37.512563,126.8394683
2.73953,37.51481627,126.8394484
3.64351,37.51706953,126.8394286
1.71159,37.51932279,126.8394087
2.02027,37.52157604,126.8393889
0,37.5238293,126.839369
0,37.52608256,126.8393491
0.78733,37.52833581,126.8393292
1.64285,37.53058907,126.8393094
0.02256,37.505819,126.8423563
7.14175,37.50807226,126.8423365
6.54614,37.51032553,126.8423167
2.67795,37.51257879,126.842297
2.59517,37.51483205,126.8422772
2.54581,37.51708531,126.8422574
3.3564,37.51933857,126.8422376
1.7944,37.52159183,126.8422179
0.14533,37.52384509,126.8421981
0,37.52609835,126.8421783
0.07425,37.50583471,126.8451847
3.0637,37.50808798,126.845165
4.45306,37.51034124,126.8451453
0.00342,37.51259451,126.8451256
0,37.51484777,126.8451059
0,37.51710103,126.8450862
2.29521,37.51935429,126.8450665
3.1814,37.52160756,126.8450469
1.16033,37.52386082,126.8450272
0,37.52611408,126.8450075
0,37.52836733,126.8449878
0,37.50810362,126.8479935
0.34749,37.51035689,126.8479739
0.39357,37.51261016,126.8479543
0,37.51486342,126.8479347
0,37.51711668,126.8479151
0,37.51936995,126.8478955
1.85022,37.52162321,126.8478759
0.91395,37.52387647,126.8478562
0,37.52612973,126.8478366
0,37.52838299,126.847817
1.53298,37.51037247,126.8508025
1.92376,37.51262574,126.850783
0,37.514879,126.8507634
0,37.51713227,126.8507439
0.40158,37.51938553,126.8507244
4.43721,37.5216388,126.8507049
3.74087,37.52389206,126.8506853
1.03217,37.52614532,126.8506658
0,37.52839858,126.8506463
0,37.51038798,126.8536311
2.88032,37.51264125,126.8536116
0.88044,37.51489452,126.8535922
2.48159,37.51714779,126.8535727
4.81394,37.51940105,126.8535533
3.09934,37.52165432,126.8535339
1.29275,37.52390758,126.8535144
0.57403,37.52616084,126.853495
0,37.52841411,126.8534755
0.00025,37.50815016,126.856479
0.86909,37.51040343,126.8564596
1.92108,37.5126567,126.8564403
2.74315,37.51490997,126.8564209
1.94861,37.51716323,126.8564016
2.34022,37.5194165,126.8563822
1.72678,37.52166977,126.8563629
0.38644,37.52392303,126.8563435
0.5676,37.5261763,126.8563242
0,37.52842956,126.8563048
0.39371,37.50591226,126.8593267
0.87618,37.50816553,126.8593075
3.54811,37.5104188,126.8592882
1.33467,37.51267208,126.859269
1.84242,37.51492535,126.8592497
0.85732,37.51717862,126.8592304
2.92282,37.51943188,126.8592112
2.8862,37.52168515,126.8591919
1.09956,37.52393842,126.8591726
2.12956,37.52619168,126.8591533
0,37.52844495,126.8591341
0.68442,37.50592757,126.8621552
3.10212,37.50818084,126.862136
1.89316,37.51043411,126.8621168
2.02808,37.51268739,126.8620976
0.4911,37.51494066,126.8620785
1.22509,37.51719393,126.8620593
1.86723,37.5194472,126.8620401
4.31946,37.52170047,126.8620209
0.22578,37.52395373,126.8620017
2.07048,37.526207,126.8619825
0.24723,37.52846027,126.8619633
0.40642,37.53071353,126.8619441
0.60828,37.54197985,126.8618481
0.76905,37.54423311,126.8618289
0.21525,37.54648637,126.8618097
0.06882,37.54873962,126.8617905
0.38369,37.50594281,126.8649836
1.8193,37.50819608,126.8649645
0.95102,37.51044936,126.8649454
2.59123,37.51270263,126.8649263
0.73194,37.5149559,126.8649072
1.16328,37.51720917,126.8648881
1.46712,37.51946244,126.864869
3.10219,37.52171571,126.8648499
3.07391,37.52396898,126.8648308
4.50699,37.52622225,126.8648117
1.32226,37.52847552,126.8647926
1.67914,37.53072879,126.8647735
1.38814,37.53298205,126.8647544
0.92649,37.53523532,126.8647353
0.5376,37.53748858,126.8647162
1.40952,37.53974184,126.864697
0.48423,37.54199511,126.8646779
0.06821,37.54424837,126.8646588
0,37.54650163,126.8646397
0.6139,37.54875489,126.8646205
0.36031,37.55100815,126.8646014
0.01382,37.50595798,126.867812
0.11374,37.50821125,126.867793
2.60392,37.51046453,126.867774
2.06058,37.51271781,126.867755
1.58627,37.51497108,126.867736
1.49952,37.51722435,126.867717
2.39266,37.51947762,126.867698
1.6338,37.5217309,126.8676789
0.98244,37.52398417,126.8676599
1.71723,37.52623744,126.8676409
0.02888,37.5284907,126.8676219
0.00355,37.53074397,126.8676029
1.68425,37.53299724,126.8675838
0.13157,37.5352505,126.8675648
0,37.53750377,126.8675458
1.14839,37.53975703,126.8675267
0.94285,37.5420103,126.8675077
0,37.54426356,126.8674887
0.65456,37.54651682,126.8674696
2.77745,37.54877008,126.8674506
0.04076,37.55102334,126.8674315
0,37.5037198,126.8706593
0,37.50597308,126.8706404
0,37.50822636,126.8706215
0.59745,37.51047964,126.8706026
4.03094,37.51273291,126.8705837
4.1541,37.51498619,126.8705647
2.89253,37.51723946,126.8705458
2.9475,37.51949274,126.8705269
1.0106,37.52174601,126.870508
1.40081,37.52399928,126.870489
0.75311,37.52625255,126.8704701
0.98421,37.52850582,126.8704512
0.0124,37.53075909,126.8704322
3.54702,37.53301236,126.8704133
4.89482,37.53526562,126.8703943
3.21439,37.53751889,126.8703754
2.36095,37.53977216,126.8703564
1.47046,37.54202542,126.8703375
1.88837,37.54427868,126.8703185
1.70539,37.54653195,126.8702996
0.40257,37.54878521,126.8702806
0,37.50373484,126.8734877
0,37.50598812,126.8734689
0,37.5082414,126.87345
0,37.51049468,126.8734312
0.84194,37.51274795,126.8734123
3.07509,37.51500123,126.8733935
0.70859,37.5172545,126.8733747
3.33468,37.51950778,126.8733558
1.65696,37.52176105,126.873337
2.93456,37.52401433,126.8733181
4.06249,37.5262676,126.8732993
2.79693,37.52852087,126.8732804
0.99999,37.53077414,126.8732616
2.02291,37.53302741,126.8732427
0.09114,37.53528068,126.8732239
4.66486,37.53753394,126.873205
1.38417,37.53978721,126.8731861
0,37.54204048,126.8731673
0.00296,37.54429374,126.8731484
1.28981,37.54654701,126.8731295
0,37.50825637,126.8762785
0,37.51050965,126.8762598
0.02561,37.51276292,126.876241
0.40719,37.5150162,126.8762223
1.22794,37.51726948,126.8762035
0.89077,37.51952275,126.8761848
0.86004,37.52177603,126.876166
5.17469,37.5240293,126.8761472
0.95698,37.52628258,126.8761285
3.91213,37.52853585,126.8761097
2.35359,37.53078912,126.8760909
3.31319,37.53304239,126.8760722
3.80273,37.53529566,126.8760534
0.48609,37.53754893,126.8760346
2.08043,37.5398022,126.8760158
1.79342,37.54205546,126.8759971
0,37.54430873,126.8759783
0.47613,37.546562,126.8759595
0,37.51277783,126.8790697
0.00177,37.51503111,126.8790511
0.2476,37.51728439,126.8790324
0.80757,37.51953766,126.8790137
1.33889,37.52179094,126.878995
0.34188,37.52404421,126.8789764
0,37.52629749,126.8789577
0.16738,37.52855076,126.878939
0.03468,37.53080403,126.8789203
2.3928,37.53305731,126.8789016
2.97593,37.53531058,126.8788829
1.73727,37.53756385,126.8788642
1.89864,37.53981712,126.8788456
1.01523,37.54207038,126.8788269
0,37.54432365,126.8788082
0.00121,37.54657692,126.8787895
0,37.54883018,126.8787708
0,37.52631233,126.8817869
0,37.52856561,126.8817683
0,37.53081888,126.8817497
0.20539,37.53307215,126.8817311
3.13537,37.53532543,126.8817125
4.02423,37.5375787,126.8816939
4.907,37.53983197,126.8816753
2.36659,37.54208524,126.8816567
3.96882,37.5443385,126.881638
1.21103,37.54659177,126.8816194
0,37.54884504,126.8816008
0,37.52632711,126.8846161
0,37.52858038,126.8845976
0.00361,37.53083366,126.8845791
0.85753,37.53308693,126.8845605
1.08287,37.53534021,126.884542
2.39859,37.53759348,126.8845235
0.58176,37.53984675,126.884505
0.70584,37.54210002,126.8844865
2.48044,37.54435329,126.8844679
0.06,37.54660656,126.8844494
0,37.52859509,126.8874269
0,37.53084837,126.8874084
0.00016,37.53310164,126.88739
0.9386,37.53535492,126.8873716
0.59318,37.53760819,126.8873531
0,37.53986147,126.8873347
0,37.53086301,126.8902378
0,37.53311629,126.8902195
0.10194,37.53536956,126.8902011
