관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11680-00002,신사근린공원,근린공원,,서울특별시 강남구 압구정동 422,37.526708,127.0212651,6800,,,,,,,,02-3423-6245,2023-05-31
11680-00003,대청근린공원,근린공원,,서울특별시 강남구 일원동 621,37.49319912,127.0830019,14089.1,,,,,,,,02-3423-6245,2023-05-31
11680-00004,늘푸른근린공원,근린공원,,서울특별시 강남구 일원동 690,37.48951135,127.0773393,11410.3,,,,,,,,02-3423-6245,2023-05-31
11680-00005,개포서근린공원,근린공원,,서울특별시 강남구 개포동 180,37.4885944,127.0635583,11219.2,,,,,,,,02-3423-6245,2023-05-31
11680-00006,개포동근린공원,근린공원,,서울특별시 강남구 개포동 182-1,37.48970641,127.0682905,9705.6,,,,,,,,02-3423-6245,2023-05-31
11680-00007,대치근린공원,근린공원,,서울특별시 강남구 대치동 512,37.495123,127.0699032,10408.9,,,,,,,,02-3423-6245,2023-05-31
11680-00008,늘벗근린공원,근린공원,,서울특별시 강남구 대치동 501,37.48928087,127.0563303,19812.3,,,,,,,,02-3423-6245,2023-05-31
11680-00009,독골근린공원,근린공원,,서울특별시 강남구 도곡동 461,37.484552,127.0468249,10022.9,,,,,,,,02-3423-6245,2023-05-31
11680-00010,포이근린공원,근린공원,,서울특별시 강남구 개포동 1239-21,37.47967612,127.0447815,16811.4,,,,,,,,02-3423-6245,2023-05-31
11680-00011,청룡근린공원,근린공원,,서울특별시 강남구 개포동 649-1,37.48528514,127.0537972,9367,,,,,,,,02-3423-6245,2023-05-31
11680-00012,배밭근린공원,근린공원,,서울특별시 강남구 개포동 181,37.48821488,127.0594681,11627.2,,,,,,,,02-3423-6245,2023-05-31
11680-00013,학여울근린공원,근린공원,,서울특별시 강남구 개포동 183-1,37.48970641,127.0682905,12505.6,,,,,,,,02-3423-6245,2023-05-31
11680-00014,청수근린공원,근린공원,,서울특별시 강남구 청담동 134-13,37.523249,127.0584463,17402,,,,,,,,02-3423-6245,2023-05-31
11680-00015,청담근린공원,근린공원,,서울특별시 강남구 청담동 66,37.52152002,127.0522736,59347,,,,,,,,02-3423-6245,2023-05-31
11680-00016,한티근린공원,근린공원,,서울특별시 강남구 대치동 212-1,37.49524119,127.0622107,19200,,,,,,,,02-3423-6245,2023-05-31
11680-00017,개포근린공원,근린공원,,서울특별시 강남구 개포동 139,37.4830336,127.063861,90063.9,,,,,,,,02-3423-6245,2023-05-31
11680-00018,달터근린공원,근린공원,,서울특별시 강남구 개포동 156,37.485434,127.0596369,232078.2,,,,,,,,02-3423-6245,2023-05-31
11680-00019,대진근린공원,근린공원,,서울특별시 강남구 개포동 13-1,37.496049,127.0788531,13568.4,,,,,,,,02-3423-6245,2023-05-31
11680-00020,탄천근린공원,근린공원,,서울특별시 강남구 수서동 722,37.487436,127.1064899,10011,,,,,,,,02-3423-6245,2023-05-31
11680-00021,한솔근린공원,근린공원,,서울특별시 강남구 일원동 732,37.481203,127.0787962,12878.4,,,,,,,,02-3423-6245,2023-05-31
11680-00022,학동근린공원,근린공원,,서울특별시 강남구 논현동 26,37.51548988,127.0252037,29947,,,,,,,,02-3423-6245,2023-05-31
11680-00023,삼성은행나무근린공원,근린공원,,서울특별시 강남구 삼성동 14,37.51651533,127.0457554,1500,,,,,,,,02-3423-6245,2023-05-31
11680-00024,도곡근린공원,근린공원,,서울특별시 강남구 도곡동 산31-1,37.48946129,127.0440022,254648,,,,,,,,02-3423-6245,2023-05-31
11680-00025,싸리고개근린공원,근린공원,,서울특별시 강남구 도곡동 550,37.48962828,127.0363246,15072.5,,,,,,,,02-3423-6245,2023-05-31
11680-00026,갈매기근린공원,근린공원,,서울특별시 강남구 압구정동 480,37.53139874,127.0345365,7732,,,,,,,,02-3423-6245,2023-05-31
11680-00027,도성근린공원,근린공원,,서울특별시 강남구 역삼동 713-15,37.5003029,127.0488318,1988.8,,,,,,,,02-3423-6245,2023-05-31
11680-00028,송운근린공원,근린공원,,서울특별시 강남구 역삼동 755-9,37.4993173,127.0490489,1175,,,,,,,,02-3423-6245,2023-05-31
11680-00029,언주근린공원,근린공원,,서울특별시 강남구 역삼동 754-7,37.49864145,127.0475791,1110.8,,,,,,,,02-3423-6245,2023-05-31
11680-00030,영동근린공원,근린공원,,서울특별시 강남구 역삼동 755-7,37.49801996,127.0486499,1293.6,,,,,,,,02-3423-6245,2023-05-31
11680-00001,도산근린공원,근린공원,,서울특별시 강남구 신사동 649-9,37.523911,127.0356032,29816.5,,,,,,,,02-3423-6245,2023-05-31
11680-00031,길섶근린공원,근린공원,,서울특별시 강남구 역삼동 757-1,37.49757437,127.0489095,1580.6,,,,,,,,02-3423-6245,2023-05-31
11680-00032,매봉근린공원,근린공원,,서울특별시 강남구 도곡동 527-7,37.492112,127.0504068,6146.9,,,,,,,,02-3423-6245,2023-05-31
11680-00033,봉은근린공원,근린공원,,서울특별시 강남구 역삼동 754-4,37.49795348,127.048244,1147.7,,,,,,,,02-3423-6245,2023-05-31
11680-00034,배꽃근린공원,근린공원,,서울특별시 강남구 삼성동 11-3,37.51628496,127.0446033,1592.9,,,,,,,,02-3423-6245,2023-05-31
11680-00035,반달근린공원,근린공원,,서울특별시 강남구 삼성동 7-4,37.5162258,127.0428717,679.3,,,,,,,,02-3423-6245,2023-05-31
11680-00036,샘터근린공원,근린공원,,서울특별시 강남구 삼성동 16-4,37.51542123,127.0474657,1799.5,,,,,,,,02-3423-6245,2023-05-31
11680-00037,학봉근린공원,근린공원,,서울특별시 강남구 삼성동 50-3,37.51303694,127.0521038,1343,,,,,,,,02-3423-6245,2023-05-31
11680-00038,큰골근린공원,근린공원,,서울특별시 강남구 대치동 888-3,37.49397694,127.054871,1688.1,,,,,,,,02-3423-6245,2023-05-31
11680-00039,새뜰근린공원,근린공원,,서울특별시 강남구 역삼동 765-30,37.49660384,127.0510177,427.6,,,,,,,,02-3423-6245,2023-05-31
11680-00040,수서제2근린공원,근린공원,,서울특별시 강남구 수서동 749,37.48359088,127.0887929,44587.5,,,,,,,,02-3423-6245,2023-05-31
11680-00041,수서택지개발(대모산부근),근린공원,,서울특별시 강남구 일원동 732-3,37.48093233,127.0805118,11588.6,,,,,,,,02-3423-6245,2023-05-31
11680-00042,수서택지개발(광평부근),근린공원,,서울특별시 강남구 수서동 737-1,37.48674541,127.0971098,7569.1,,,,,,,,02-3423-6245,2023-05-31
11680-00043,세곡동 근린공원1,근린공원,,서울특별시 강남구 세곡동 525-1,37.46058474,127.1038574,10310.4,,,,,,,,02-3423-6245,2023-05-31
11680-00045,돌산공원,근린공원,,서울특별시 강남구 세곡동 산1,37.46670933,127.1114937,98417,,,,,,,,02-3423-6245,2023-05-31
11680-00046,광평공원,근린공원,,서울특별시 강남구 수서동 산10-1,37.48651921,127.0921363,519782,,,,,,,,02-3423-6245,2023-05-31
11680-00048,봉은역사공원,역사공원,,서울특별시 강남구 삼성동 75,37.51391154,127.0554916,75635.7,,,,,,,,02-3423-6245,2023-05-31
11680-00049,역삼문화공원,문화공원,,서울특별시 강남구 역삼동 635,37.50251536,127.0303909,33974.9,,,,,,,,02-3423-6245,2023-05-31
11680-00050,다솜소공원,소공원,,서울특별시 강남구 역삼동 763-18,37.49577558,127.0478708,604.1,,,,,,,,02-3423-6245,2023-05-31
11680-00051,도곡단비소공원,소공원,,서울특별시 강남구 도곡동 539-6,37.49389921,127.0472249,896.5,,,,,,,,02-3423-6245,2023-05-31
11680-00052,도곡동 426-9(로덴하우스)소공원,소공원,,서울특별시 강남구 도곡동 462-9,37.48560304,127.0460585,80,,,,,,,,02-3423-6245,2023-05-31
11680-00053,역삼나들이소공원,소공원,,서울특별시 강남구 역삼동 716-5,37.500748,127.0504317,650,,,,,,,,02-3423-6245,2023-05-31
11680-00054,아크로힐스소공원,소공원,,서울특별시 강남구 논현동 276-2,37.51003194,127.0395693,800,,,,,,,,02-3423-6245,2023-05-31
11680-00055,논현까치공원,어린이공원,,서울특별시 강남구 논현동 162-11,37.50852892,127.0250971,956.7,,,,,,,,02-3423-6247,2023-05-31
11680-00056,논현목련공원,어린이공원,,서울특별시 강남구 논현동 137-18,37.5108669,127.0267093,986,,,,,,,,02-3423-6247,2023-05-31
11680-00057,논현은행나무공원,어린이공원,,서울특별시 강남구 논현동 47-13,37.51259546,127.0224572,1014.5,,,,,,,,02-3423-6247,2023-05-31
11680-00058,논현개나리공원,어린이공원,,서울특별시 강남구 논현동 150-5,37.51122564,127.0300758,1652.9,,,,,,,,02-3423-6247,2023-05-31
11680-00059,논현무궁화공원,어린이공원,,서울특별시 강남구 논현동 205-7,37.50667179,127.0307039,1879.7,,,,,,,,02-3423-6247,2023-05-31
11680-00060,논현소나무공원,어린이공원,,서울특별시 강남구 논현동 239,37.51573112,127.0374539,1819.9,,,,,,,,02-3423-6247,2023-05-31
11680-00061,학동공원,어린이공원,,서울특별시 강남구 논현동 263-23,37.511646,127.0387639,1498.5,,,,,,,,02-3423-6247,2023-05-31
11680-00062,신사은행나무공원,어린이공원,,서울특별시 강남구 신사동 558,37.52059722,127.0260394,1240.1,,,,,,,,02-3423-6247,2023-05-31
11680-00063,신사목련공원,어린이공원,,서울특별시 강남구 신사동 567-37,37.52291399,127.0258327,1001.1,,,,,,,,02-3423-6247,2023-05-31
11680-00064,신사무궁화공원,어린이공원,,서울특별시 강남구 신사동 625-5,37.524131,127.0319138,1641.8,,,,,,,,02-3423-6247,2023-05-31
11680-00065,까치공원,어린이공원,,서울특별시 강남구 신사동 597,37.52342193,127.029229,992.9,,,,,,,,02-3423-6247,2023-05-31
11680-00066,신사개나리공원,어린이공원,,서울특별시 강남구 신사동 609-2,37.52567303,127.029443,991.3,,,,,,,,02-3423-6247,2023-05-31
11680-00067,압구정목련공원,어린이공원,,서울특별시 강남구 압구정동 466,37.53268534,127.0322088,2027.2,,,,,,,,02-3423-6247,2023-05-31
11680-00068,압구정은행나무공원,어린이공원,,서울특별시 강남구 압구정동 459,37.53072221,127.0314438,2547.4,,,,,,,,02-3423-6247,2023-05-31
11680-00069,삼성목련공원,어린이공원,,서울특별시 강남구 삼성동 55-1,37.518515,127.0538884,1641.4,,,,,,,,02-3423-6247,2023-05-31
11680-00070,삼성까치공원,어린이공원,,서울특별시 강남구 삼성동 85,37.51841744,127.0605431,1462.9,,,,,,,,02-3423-6247,2023-05-31
11680-00071,청담은행나무공원,어린이공원,,서울특별시 강남구 청담동 94-4,37.525154,127.0442417,1643.8,,,,,,,,02-3423-6247,2023-05-31
11680-00072,청담목련공원,어린이공원,,서울특별시 강남구 청담동 51,37.52300518,127.0498445,1642.1,,,,,,,,02-3423-6247,2023-05-31
11680-00073,도곡까치공원,어린이공원,,서울특별시 강남구 도곡동 455,37.483326,127.0451093,1793.8,,,,,,,,02-3423-6247,2023-05-31
11680-00074,도곡목련공원,어린이공원,,서울특별시 강남구 도곡동 415-3,37.484915,127.0443053,1709.2,,,,,,,,02-3423-6247,2023-05-31
11680-00075,역삼장미공원,어린이공원,,서울특별시 강남구 역삼동 780-25,37.495327,127.0447331,1636.6,,,,,,,,02-3423-6247,2023-05-31
11680-00076,역삼까치공원,어린이공원,,서울특별시 강남구 역삼동 824-10,37.4972618,127.0307401,987.2,,,,,,,,02-3423-6247,2023-05-31
11680-00077,역삼무궁화공원,어린이공원,,서울특별시 강남구 역삼동 830-23,37.493835,127.032209,991.5,,,,,,,,02-3423-6247,2023-05-31
11680-00078,역삼개나리공원,어린이공원,,서울특별시 강남구 역삼동 739-15,37.497571,127.0362551,1635,,,,,,,,02-3423-6247,2023-05-31
11680-00079,역삼소나무공원,어린이공원,,서울특별시 강남구 역삼동 836-21,37.49099783,127.0336992,987.3,,,,,,,,02-3423-6247,2023-05-31
11680-00080,역삼은행나무공원,어린이공원,,서울특별시 강남구 역삼동 611,37.505409,127.0312225,1647.1,,,,,,,,02-3423-6247,2023-05-31
11680-00081,대치목련공원,어린이공원,,서울특별시 강남구 대치동 929-10,37.49982553,127.0581713,1649.1,,,,,,,,02-3423-6247,2023-05-31
11680-00082,대치까치공원,어린이공원,,서울특별시 강남구 대치동 1014-4,37.496941,127.059198,992.2,,,,,,,,02-3423-6247,2023-05-31
11680-00083,대치은행나무공원,어린이공원,,서울특별시 강남구 대치동 899-25,37.501649,127.0515319,1618.7,,,,,,,,02-3423-6247,2023-05-31
11680-00084,개포까치공원,어린이공원,,서울특별시 강남구 개포동 169-3,37.48370515,127.0608782,1690.2,,,,,,,,02-3423-6247,2023-05-31
11680-00085,개포공원,어린이공원,,서울특별시 강남구 개포동 190,37.48532872,127.0716569,4793.8,,,,,,,,02-3423-6247,2023-05-31
11680-00086,개포개나리공원,어린이공원,,서울특별시 강남구 개포동 190,37.48532872,127.0716569,1500.6,,,,,,,,02-3423-6247,2023-05-31
11680-00087,개포은행나무공원,어린이공원,,서울특별시 강남구 개포동 1220,37.47602964,127.0492625,1641.7,,,,,,,,02-3423-6247,2023-05-31
11680-00088,개포목련공원,어린이공원,,서울특별시 강남구 개포동 1176,37.47429924,127.0524432,1639.1,,,,,,,,02-3423-6247,2023-05-31
11680-00089,일원은행나무공원,어린이공원,,서울특별시 강남구 일원동 615-2,37.492002,127.0769753,1500.3,,,,,,,,02-3423-6247,2023-05-31
11680-00090,일원목련공원,어린이공원,,서울특별시 강남구 일원동 658,37.491431,127.0855901,1613.8,,,,,,,,02-3423-6247,2023-05-31
11680-00091,일원까치공원,어린이공원,,서울특별시 강남구 일원동 712-4,37.4918904,127.0882309,1476.3,,,,,,,,02-3423-6247,2023-05-31
11680-00092,궁마을공원,어린이공원,,서울특별시 강남구 수서동 465-15,37.484831,127.0994148,306,,,,,,,,02-3423-6247,2023-05-31
11680-00093,예지공원,어린이공원,,서울특별시 강남구 개포동 12-7,37.49183156,127.0733493,1535.9,,,,,,,,02-3423-6247,2023-05-31
11680-00094,한마음공원,어린이공원,,서울특별시 강남구 개포동 12-3,37.49642631,127.0755359,2488.1,,,,,,,,02-3423-6247,2023-05-31
11680-00095,일원장미공원,어린이공원,,서울특별시 강남구 일원동 732-4,37.480681,127.0808231,1500,,,,,,,,02-3423-6247,2023-05-31
11680-00096,일원개나리공원,어린이공원,,서울특별시 강남구 일원동 730-3,37.48300519,127.0763956,4453.6,,,,,,,,02-3423-6247,2023-05-31
11680-00097,일원느티나무공원,어린이공원,,서울특별시 강남구 일원동 730-2,37.483047,127.0774123,1825.7,,,,,,,,02-3423-6247,2023-05-31
11680-00098,일원소나무공원,어린이공원,,서울특별시 강남구 일원동 718-1,37.484061,127.0817812,1500.6,,,,,,,,02-3423-6247,2023-05-31
11680-00099,일원상록수공원,어린이공원,,서울특별시 강남구 일원동 734-1,37.482102,127.0822265,1500.4,,,,,,,,02-3423-6247,2023-05-31
11680-00100,일원비둘기공원,어린이공원,,서울특별시 강남구 일원동 735-1,37.48327765,127.0860025,1501,,,,,,,,02-3423-6247,2023-05-31
11680-00101,일원진달래공원,어린이공원,,서울특별시 강남구 일원동 716-1,37.484753,127.0847344,1500.1,,,,,,,,02-3423-6247,2023-05-31
11680-00102,일원새싹공원,어린이공원,,서울특별시 강남구 수서동 746-1,37.484772,127.0890958,1500.2,,,,,,,,02-3423-6247,2023-05-31
11680-00103,수서까치공원,어린이공원,,서울특별시 강남구 수서동 736-1,37.48713637,127.0979512,1500.2,,,,,,,,02-3423-6247,2023-05-31
11680-00104,수서은행나무공원,어린이공원,,서울특별시 강남구 수서동 707-1,37.49213676,127.0997523,1500.4,,,,,,,,02-3423-6247,2023-05-31
11680-00105,수서목련공원,어린이공원,,서울특별시 강남구 수서동 712-1,37.49062982,127.1036989,1418.8,,,,,,,,02-3423-6247,2023-05-31
11680-00106,수서개나리공원,어린이공원,,서울특별시 강남구 수서동 723-1,37.487518,127.1054203,1500.1,,,,,,,,02-3423-6247,2023-05-31
11680-00107,아래반고개공원,어린이공원,,서울특별시 강남구 세곡동 129-13,37.463874,127.1071102,863,,,,,,,,02-3423-6247,2023-05-31
11680-00108,윗반고개공원,어린이공원,,서울특별시 강남구 세곡동 99-6,37.46569942,127.109147,1250,,,,,,,,02-3423-6247,2023-05-31
11680-00109,은곡마을공원,어린이공원,,서울특별시 강남구 세곡동 369-3,37.46801863,127.1004611,2686,,,,,,,,02-3423-6247,2023-05-31
11680-00110,쟁골공원,어린이공원,,서울특별시 강남구 자곡동 233-2,37.48190388,127.1020753,468,,,,,,,,02-3423-6247,2023-05-31
11680-00111,못골공원,어린이공원,,서울특별시 강남구 자곡동 447-23,37.473573,127.100181,749,,,,,,,,02-3423-6247,2023-05-31
11680-00112,윗방죽마을공원,어린이공원,,서울특별시 강남구 율현동 308-29,37.470276,127.104681,935,,,,,,,,02-3423-6247,2023-05-31
11680-00113,아래방죽마을공원,어린이공원,,서울특별시 강남구 율현동 194-1,37.473276,127.1082321,386,,,,,,,,02-3423-6247,2023-05-31
11680-00114,충현공원,어린이공원,,서울특별시 강남구 역삼동 666-2,37.50467201,127.0365347,2721.8,,,,,,,,02-3423-6247,2023-05-31
11680-00115,세곡천공원,어린이공원,,서울특별시 강남구 세곡동 522-1,37.46321345,127.1012799,2645.1,,,,,,,,02-3423-6247,2023-05-31
11680-00116,대왕공원,어린이공원,,서울특별시 강남구 세곡동 526-2,37.4624778,127.1049341,2633.1,,,,,,,,02-3423-6247,2023-05-31
11680-00117,근린공원1호,근린공원,,서울특별시 강남구 세곡동 603,37.46652497,127.0949058,18856.7,,,,,,,,02-3423-6245,2023-05-31
11680-00118,근린공원2호,근린공원,,서울특별시 강남구 자곡동 625,37.4692274,127.0902554,5236.8,,,,,,,,02-3423-6245,2023-05-31
11680-00119,근린공원3호,근린공원,,서울특별시 강남구 자곡동 615,37.47298119,127.0929684,38003.6,,,,,,,,02-3423-6245,2023-05-31
11680-00120,근린공원4호,근린공원,,서울특별시 강남구 자곡동 608,37.47440226,127.0967379,24247.1,,,,,,,,02-3423-6245,2023-05-31
11680-00121,근린공원5호,근린공원,,서울특별시 강남구 자곡동 607,37.47330498,127.0997276,21560.9,,,,,,,,02-3423-6245,2023-05-31
11680-00122,근린공원6호,근린공원,,서울특별시 강남구 자곡동 647,37.47217989,127.1019482,19739.5,,,,,,,,02-3423-6245,2023-05-31
11680-00123,근린공원7호,근린공원,,서울특별시 강남구 자곡동 627,37.47039047,127.0923987,12093,,,,,,,,02-3423-6245,2023-05-31
11680-00124,수변공원1호,수변공원,,서울특별시 강남구 세곡동604-1,37.465664,127.097181,10399.2,,,,,,,,02-3423-6245,2023-05-31
11680-00125,수변공원2호,수변공원,,서울특별시 강남구 세곡동 537,37.46520915,127.093755,3713.3,,,,,,,,02-3423-6245,2023-05-31
11680-00126,쉼표소공원,소공원,,서울특별시 강남구 세곡동 549,37.467518,127.099851,1199.2,,,,,,,,02-3423-6245,2023-05-31
11680-00129,역삼미소공원,소공원,,서울특별시 강남구 역삼동 711-5,37.50142477,127.0439883,576,,,,,,,,02-3423-6245,2023-05-31
11680-00130,도곡햇살공원,소공원,,서울특별시 강남구 도곡동 538-4,37.49575164,127.0524907,558.5,,,,,,,,02-3423-6245,2023-05-31
11680-00131,도담공원,어린이공원,,서울특별시 강남구 세곡동 548,37.46732499,127.0986125,4282.7,,,,,,,,02-3423-6247,2023-05-31
11680-00132,행복공원,어린이공원,,서울특별시 강남구 세곡동 546,37.46728874,127.0971653,2483.5,,,,,,,,02-3423-6247,2023-05-31
11680-00133,대치에스케이뷰1 소공원,소공원,,서울특별시 강남구 대치동 1029-2,37.49576505,127.0595115,302,,,,,,,,02-3423-6244,2023-05-31
11680-00134,대치에스케이뷰2 소공원,소공원,,서울특별시 강남구 대치동 1029-3,37.49605146,127.0614886,481,,,,,,,,02-3423-6244,2023-05-31
